"OTU30","OTU738","OTU736","OTU128","OTU25","OTU861","OTU1243","OTU1026","OTU46","OTU729","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU718","OTU1069","OTU444","OTU84","OTU714","OTU325","OTU51","OTU734","OTU728","OTU731","OTU401","OTU724","OTU125","OTU1021","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427"
"LOS2-middle disease",0.00245290657533757,0.0329237217510895,0.000178609702079017,5.95365673715796e-05,0.119763758912624,0.0363768426448525,0.000178609702079017,0.000130980448203186,0.00016670238861899,8.33511942916339e-05,0.000357219404158034,0.00016670238861899,1.19073134600271e-05,0,5.95365673715796e-05,3.57219404158034e-05,0,0.000595365673715796,3.57219404158034e-05,1.19073134600271e-05,0.000142887761663214,0.000595365673715796,0.000250053582910624,0.000142887761663214,0.000154795075123241,0.000154795075123241,0.00163130194577409,0.00239337000785883,7.14438808316068e-05,1.19073134600271e-05,0.000250053582910624,0.0765521183110667,2.38146269557762e-05,0.000571551046652854,0.000476292538758305,0.000142887761663214,0,8.33511942916339e-05,7.14438808316068e-05,0.000142887761663214,7.14438808316068e-05,0.00142887761663214,0.000142887761663214,3.57219404158034e-05,0.709580624419518,4.76292538758305e-05,0,0.000333404777202258,0.000119073134707437,5.95365673715796e-05,0.00010716582124741,5.95365673715796e-05,4.76292538758305e-05
"LOS2-late disease",0.0010537972422662,0.000821604629563478,5.35829106237051e-05,0,0.00660855897692363,0.0368114595984854,0,3.57219404158034e-05,1.78609702079017e-05,1.78609702079017e-05,8.93048510395085e-05,5.35829106237051e-05,1.78609702079017e-05,0.418125312566979,0.00780524398085304,1.78609702079017e-05,0,0.000160748731871115,0.00512609844966779,1.78609702079017e-05,1.78609702079017e-05,0.000196470672286919,0.000196470672286919,0,0.00010716582124741,3.57219404158034e-05,0.000678716867900264,0.0770165035364721,7.14438808316068e-05,0,0.000196470672286919,0.0417768093162821,0.0143423590769451,0,0.00010716582124741,3.57219404158034e-05,0,1.78609702079017e-05,0.000142887761663214,5.35829106237051e-05,1.78609702079017e-05,0.000428663284989641,0.000142887761663214,1.78609702079017e-05,0.362095449024791,0,3.57219404158034e-05,0.000142887761663214,3.57219404158034e-05,0.0173608630420804,0,0,1.78609702079017e-05
"LOS3-early post partum",0.0866792884189469,1.78609702079017e-05,0.00587625919839966,0.00232192612702722,0.000714438808316068,0.000267914553118525,0.00094663142101879,0.00541187397299421,0.00373294277345145,0.00366149889261985,0.0164678145316854,0.00623347860255769,0.000660855897692363,0.0775523326427092,0.000142887761663214,0.0010180753018504,0,0.0237015074658855,1.78609702079017e-05,0.000410802314781739,0.00660855897692363,0.0279524183753662,0.00021433164249482,0.00339358433950132,0.00485818389654926,0.00437593770093592,0.057958848324641,0.419232692719869,0.00128598985496892,0.000428663284989641,0.0137708080302922,0.00278631135243266,0.000696577838108166,0.037972422661999,0.0140208616132028,0.00626920054297349,0.000250053582910624,0.00332214045866971,0.00682289061941845,0.00480460098592556,0.00876973637207973,0.0589947845966993,0.00651925412588412,0.0010359362720583,0.0153604343787955,0.00116096306351361,0.000750160748731871,0.0114667428734729,0.00235764806744302,0.000178609702079017,0.00407230120740159,0.00219689933557191,0.00241123097806673
"LOS3-early pre-onset",0.0601200257197971,0.000250053582910624,0.00453668643280703,0.00191112381224548,0.000178609702079017,0.000821604629563478,1.78609702079017e-05,0.00369722083303565,0.00414374508823319,0.00266128456097735,0.0127527327284418,0.00451882546259913,0.000750160748731871,0.304976066299921,7.14438808316068e-05,0.000553690076444952,0.000196470672286919,0.0166107022933486,3.57219404158034e-05,0.000553690076444952,0.00298278202471958,0.0187897406587126,3.57219404158034e-05,0.00267914553118525,0.00544759591341002,0.00378652568407516,0.0440094305922698,0.343662927770236,0.00121454597413732,0.000267914553118525,0.00809101950417947,0.00391155247553047,0.000571551046652854,0.00371508180324355,0.0102879188397514,0.00553690076444952,3.57219404158034e-05,0.00335786239908552,0.00500107165821247,0.00337572336929342,0.0010180753018504,0.0422233335714796,0.0052868471815389,0.000893048510395085,0.0302743445023934,0.000464385225405444,0.000625133957276559,0.00805529756376366,0.0021611773951561,3.57219404158034e-05,0.00301850396513539,0.00200042866328499,0.00250053582910624
"LOS3-late pre-onset",0.00132171179538473,0,0,1.78609702079017e-05,0.00385796956490677,0.00130385082517682,0.0325426877187969,1.78609702079017e-05,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,3.57219404158034e-05,0,0.00291133814388798,0.000178609702079017,0,0,0.000375080374365936,0,0,0.00226834321640352,0.000285775523326427,0.00764449524898192,7.14438808316068e-05,8.93048510395085e-05,7.14438808316068e-05,0.000714438808316068,0.00576909337715225,1.78609702079017e-05,0,0.000178609702079017,0.0461348860470101,0,0.453882974923198,0.000160748731871115,3.57219404158034e-05,0.000160748731871115,5.35829106237051e-05,7.14438808316068e-05,8.93048510395085e-05,7.14438808316068e-05,0.000875187540187183,8.93048510395085e-05,1.78609702079017e-05,0.435111095234693,1.78609702079017e-05,0,0.000178609702079017,7.14438808316068e-05,0.000428663284989641,7.14438808316068e-05,5.35829106237051e-05,3.57219404158034e-05
"LOS3-early disease",0.000285775523326427,0,0,3.57219404158034e-05,0.00010716582124741,0.00182181896120597,0.0167893119954276,1.78609702079017e-05,0,3.57219404158034e-05,1.78609702079017e-05,3.57219404158034e-05,0,0.0123062084732443,0,0,0,3.57219404158034e-05,0.000303636493534329,0,5.35829106237051e-05,8.93048510395085e-05,0.00269700650139316,1.78609702079017e-05,1.78609702079017e-05,1.78609702079017e-05,0.000321497463742231,0.00010716582124741,0,0,8.93048510395085e-05,0.121186682860613,1.78609702079017e-05,0.447363720797314,3.57219404158034e-05,1.78609702079017e-05,1.78609702079017e-05,0,1.78609702079017e-05,1.78609702079017e-05,0,0.000303636493534329,0,1.78609702079017e-05,0.393387868829035,0,0,7.14438808316068e-05,0,0.000803743659355576,0,0,3.57219404158034e-05
"LOS3-middle disease",0.000535829106237051,0,3.57219404158034e-05,0,0.0011073801528899,0.000678716867900264,0.000178609702079017,7.14438808316068e-05,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0.0074301636064871,0,0,0,3.57219404158034e-05,0.00010716582124741,0,0.000142887761663214,0.000142887761663214,0.000642994927484461,0,7.14438808316068e-05,3.57219404158034e-05,0.000285775523326427,0.354183039222691,0,0,7.14438808316068e-05,0.158641137386583,0,7.14438808316068e-05,3.57219404158034e-05,0,0,0,0,0,3.57219404158034e-05,0.000321497463742231,0,0,0.472958491105237,0,0,0,0,0,0,0.00010716582124741,0
"LOS3-late disease",0.000178609702079017,0.000571551046652854,0,0,3.57219404158034e-05,0.00150032149746374,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0.0111452454097307,0,0,0,0,0,0,0,0,3.57219404158034e-05,0,0,0,7.14438808316068e-05,0.929842109023362,0,0,0,0.0149674930342216,0,0.00021433164249482,0,0,0,0,0,0,0,0,0,0,0.0404015146102736,0,0,0,7.14438808316068e-05,0,0,0,0
"NEC1-early post partum",0.292276916482103,0,0.000142887761663214,0.0062870615131814,0.000178609702079017,0.00010716582124741,3.57219404158034e-05,0.0377580910195042,0.0231835393298564,0.00971636779309852,0.0032149746374223,3.57219404158034e-05,0.0031435307565907,0.000321497463742231,0,0.00603700793027077,0.000500107165821247,0.0813745802672001,0,0.00732299778523969,0.00196470672286919,0.0473672929913553,7.14438808316068e-05,3.57219404158034e-05,0.000178609702079017,0,0.000285775523326427,0.000642994927484461,0.00996642137600915,0.00753732942773451,0.00021433164249482,0.000500107165821247,0.014538829749232,0.0141101664642423,0.000178609702079017,0.0661213117096521,0,0.0119311280988783,0.00246481388869043,0.0470100735871973,0,7.14438808316068e-05,0.0356862184753876,0.0103950846609988,0.0156104879617061,0,0.016896477816675,0.0232192612702722,0.00621561763234979,0.000357219404158034,0.0336500678716868,0.029256269200543,0.0197899549903551
"NEC1-early pre-onset",0.00021433164249482,0,0,0,0.00693005644066586,0,0,3.57219404158034e-05,0,0,0,0,0,0.0283274987497321,0,0,7.14438808316068e-05,0.00010716582124741,0,3.57219404158034e-05,0,3.57219404158034e-05,0.000321497463742231,0,0,0,0,0.00010716582124741,0,0,0,0.0796956490676574,3.57219404158034e-05,0.000142887761663214,0,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,0,0,0,0.882724869614917,0,0,3.57219404158034e-05,0,0.00010716582124741,0,3.57219404158034e-05,0
